Mcharg/DMneut      -80E+00      -70E+00      -60E+00      -50E+00      -40E+00      -30E+00      -20E+00      -10E+00        0E+00       10E+00       20E+00       30E+00       40E+00       50E+00       60E+00       70E+00       80E+00
      100E+00  0.23769E+02  0.20007E+02  0.16433E+02  0.13401E+02  0.10928E+02  0.89473E+01  0.73626E+01  0.60893E+01  0.50777E+01  0.42548E+01  0.35865E+01  0.30404E+01  0.25914E+01  0.22202E+01  0.19114E+01  0.16532E+01  0.14360E+01
      110E+00  0.14203E+02  0.12098E+02  0.10173E+02  0.85146E+01  0.71275E+01  0.59789E+01  0.50287E+01  0.42548E+01  0.36121E+01  0.30802E+01  0.26385E+01  0.22701E+01  0.19614E+01  0.17016E+01  0.14821E+01  0.12957E+01  0.11368E+01
      120E+00  0.91522E+01  0.78854E+01  0.67422E+01  0.57501E+01  0.49033E+01  0.41848E+01  0.35864E+01  0.30803E+01  0.26526E+01  0.22938E+01  0.19905E+01  0.17334E+01  0.15146E+01  0.13279E+01  0.11680E+01  0.10305E+01  0.91190E+00
      130E+00  0.62194E+01  0.54132E+01  0.46908E+01  0.40572E+01  0.35074E+01  0.30403E+01  0.26385E+01  0.22938E+01  0.20043E+01  0.17527E+01  0.15371E+01  0.13519E+01  0.11923E+01  0.10545E+01  0.93517E+00  0.83150E+00  0.74122E+00
      140E+00  0.43992E+01  0.38647E+01  0.33844E+01  0.29592E+01  0.25914E+01  0.22700E+01  0.19905E+01  0.17527E+01  0.15424E+01  0.13618E+01  0.12051E+01  0.10690E+01  0.95051E+00  0.84711E+00  0.75669E+00  0.67744E+00  0.60782E+00
      150E+00  0.32125E+01  0.28443E+01  0.25122E+01  0.22202E+01  0.19614E+01  0.17334E+01  0.15371E+01  0.13618E+01  0.12080E+01  0.10753E+01  0.95897E+00  0.85695E+00  0.76732E+00  0.68843E+00  0.61887E+00  0.55739E+00  0.50298E+00
      160E+00  0.24067E+01  0.21450E+01  0.19114E+01  0.17016E+01  0.15146E+01  0.13519E+01  0.12051E+01  0.10753E+01  0.96449E+00  0.86431E+00  0.77584E+00  0.69762E+00  0.62838E+00  0.56698E+00  0.51245E+00  0.46395E+00  0.42073E+00
      170E+00  0.18414E+01  0.16532E+01  0.14821E+01  0.13279E+01  0.11923E+01  0.10690E+01  0.95897E+00  0.86431E+00  0.77779E+00  0.70126E+00  0.63316E+00  0.57253E+00  0.51847E+00  0.47022E+00  0.42710E+00  0.38851E+00  0.35392E+00
      180E+00  0.14360E+01  0.12957E+01  0.11679E+01  0.10545E+01  0.95049E+00  0.85696E+00  0.77584E+00  0.70126E+00  0.63453E+00  0.57515E+00  0.52198E+00  0.47434E+00  0.43161E+00  0.39325E+00  0.35876E+00  0.32773E+00  0.29976E+00
      190E+00  0.11368E+01  0.10305E+01  0.93516E+00  0.84711E+00  0.76732E+00  0.69762E+00  0.63316E+00  0.57515E+00  0.52307E+00  0.47636E+00  0.43430E+00  0.39641E+00  0.36224E+00  0.33140E+00  0.30354E+00  0.27834E+00  0.25553E+00
      200E+00  0.91190E+00  0.83150E+00  0.75670E+00  0.68843E+00  0.62837E+00  0.57253E+00  0.52198E+00  0.47636E+00  0.43526E+00  0.39806E+00  0.36440E+00  0.33391E+00  0.30630E+00  0.28125E+00  0.25853E+00  0.23788E+00  0.21911E+00
      210E+00  0.74121E+00  0.67744E+00  0.61886E+00  0.56697E+00  0.51847E+00  0.47434E+00  0.43430E+00  0.39806E+00  0.36505E+00  0.33511E+00  0.30791E+00  0.28316E+00  0.26064E+00  0.24013E+00  0.22145E+00  0.20440E+00  0.18885E+00
      220E+00  0.60782E+00  0.55739E+00  0.51245E+00  0.47023E+00  0.43161E+00  0.39641E+00  0.36439E+00  0.33511E+00  0.30845E+00  0.28412E+00  0.26192E+00  0.24165E+00  0.22313E+00  0.20620E+00  0.19072E+00  0.17655E+00  0.16357E+00
      230E+00  0.50298E+00  0.46395E+00  0.42711E+00  0.39325E+00  0.36224E+00  0.33391E+00  0.30790E+00  0.28412E+00  0.26233E+00  0.24240E+00  0.22414E+00  0.20740E+00  0.19206E+00  0.17798E+00  0.16506E+00  0.15320E+00  0.14230E+00
      240E+00  0.42073E+00  0.38851E+00  0.35876E+00  0.33140E+00  0.30630E+00  0.28316E+00  0.26192E+00  0.24240E+00  0.22447E+00  0.20800E+00  0.19286E+00  0.17894E+00  0.16614E+00  0.15436E+00  0.14351E+00  0.13352E+00  0.12431E+00
      250E+00  0.35392E+00  0.32773E+00  0.30353E+00  0.28125E+00  0.26064E+00  0.24165E+00  0.22414E+00  0.20800E+00  0.19304E+00  0.17934E+00  0.16672E+00  0.15507E+00  0.14433E+00  0.13441E+00  0.12526E+00  0.11680E+00  0.10898E+00
      260E+00  0.29977E+00  0.27834E+00  0.25853E+00  0.24013E+00  0.22313E+00  0.20740E+00  0.19286E+00  0.17934E+00  0.16707E+00  0.15558E+00  0.14496E+00  0.13514E+00  0.12605E+00  0.11765E+00  0.10986E+00  0.10265E+00  0.95976E-01
      270E+00  0.25552E+00  0.23788E+00  0.22144E+00  0.20620E+00  0.19206E+00  0.17894E+00  0.16672E+00  0.15558E+00  0.14500E+00  0.13533E+00  0.12637E+00  0.11806E+00  0.11036E+00  0.10321E+00  0.96573E-01  0.90414E-01  0.84692E-01
      280E+00  0.21911E+00  0.20440E+00  0.19072E+00  0.17798E+00  0.16614E+00  0.15507E+00  0.14496E+00  0.13533E+00  0.12646E+00  0.11827E+00  0.11066E+00  0.10359E+00  0.97016E-01  0.90903E-01  0.85216E-01  0.79925E-01  0.74999E-01
      290E+00  0.18885E+00  0.17655E+00  0.16506E+00  0.15436E+00  0.14433E+00  0.13514E+00  0.12637E+00  0.11827E+00  0.11078E+00  0.10380E+00  0.97304E-01  0.91252E-01  0.85613E-01  0.80359E-01  0.75461E-01  0.70893E-01  0.66634E-01
      300E+00  0.16357E+00  0.15320E+00  0.14351E+00  0.13441E+00  0.12605E+00  0.11806E+00  0.11066E+00  0.10380E+00  0.97400E-01  0.91426E-01  0.85851E-01  0.80648E-01  0.75791E-01  0.71256E-01  0.67020E-01  0.63062E-01  0.59363E-01
      310E+00  0.14230E+00  0.13352E+00  0.12526E+00  0.11765E+00  0.11036E+00  0.10359E+00  0.97304E-01  0.91426E-01  0.85931E-01  0.80793E-01  0.75989E-01  0.71498E-01  0.67296E-01  0.63366E-01  0.59688E-01  0.56246E-01  0.53023E-01
      320E+00  0.12431E+00  0.11680E+00  0.10986E+00  0.10321E+00  0.97016E-01  0.91252E-01  0.85851E-01  0.80793E-01  0.76055E-01  0.71619E-01  0.67462E-01  0.63569E-01  0.59921E-01  0.56502E-01  0.53298E-01  0.50293E-01  0.47475E-01
