0.9382  3.95 10
0.9905  2.95 11
0.9532  3.47 10
0.9294  8.30 10
0.9806  4.29 10
0.9602  3.57 12
0.9863  4.59 14
0.9415  3.90 10
0.9579  3.70 10
0.9150  3.53 16
0.9909  4.76 11
0.9392  4.51 10
0.9429  4.65 11
0.9356  7.02 12
0.9737  1.74 25
0.9602  3.86 11
0.9488  3.56 14
0.9997  4.13 10
0.9723  3.43 11
0.9115  2.32 12
0.9293  3.10 11
0.9703  3.94 14
0.9388  2.96 14
0.9434  5.39 14
0.9592  3.22 12
0.9230  4.14 16
0.9493  2.63 16
0.9706  6.09 11
0.9553  5.13 20
0.9290  3.26 10
0.9430  3.98 14
0.9345  2.12 16
0.9587  2.74 13
0.9236  4.96 10
0.9940  2.82 16
0.9130  2.79 14
0.9322  5.69 11
0.9288  2.77 19
0.9354  5.36 16
0.9765  3.48 19
0.9677  2.97 14
0.9616  2.65 19
0.9999  2.61 15
0.9665  6.74 11
0.9790  2.49 20
0.9770  3.14 11
0.9873  3.03 15
0.9552  3.92 12
0.9785  4.27 12
0.9077  6.96 12
0.9351  2.88 14
0.9751  4.20 11
0.9946  4.31 13
0.9896  3.49 13
0.9374  3.08 14
0.9174  1.54 22
0.9190  4.52 11
0.9366  4.52 14
0.9471  3.84 18
0.9452  4.25 10
0.9984  3.28 10
0.9831  2.89 10
0.9341  5.26 17
0.9485  4.57 12
0.9960  5.85 10
0.9770  3.40 11
0.9481  3.93 15
0.9457  2.50 16
0.9796  2.21 25
0.9161  3.61 12
0.9184  3.58 11
0.9201  3.10 12
0.9066  4.47 11
0.9179  4.75 11
0.9535  3.76 10
0.9495  4.39 15
0.9422  3.28 11
0.9985  2.78 12
0.9745  2.69 14
0.9975  4.39 10
0.9944  5.99 10
0.9262  2.61 14
0.9731  2.74 18
0.9606  3.72 17
0.9289  4.53 10
0.9924  3.88 10
0.9407  4.61 11
0.9791  5.26 19
0.9985  8.66 13
0.9263  3.23 12
0.9659  3.01 15
0.9498  3.14 13
0.9846  4.24 14
0.9583  3.17 10
0.9426  3.24 13
0.9667  2.37 11
0.9619  2.77 18
0.9404  4.56 14
0.9916  4.56 11
0.9517  3.22 14
0.9751  5.39 10
0.9541  2.48 10
0.9639  2.58 14
0.9437  3.16 10
0.9115  2.78 10
0.9120  3.57 10
0.9574  3.55 13
0.9984  3.36 11
0.9208  2.81 20
0.9131  6.50 11
0.9946  2.80 13
0.9711  4.21 11
0.9181  4.48 10
0.9502  4.89 11
0.9160  5.06 10
