#arxiv.org/pdf/astro-ph/0611418.pdf
#Honda M et al,  Phys.Rev. D75 (2007) 043006
# atmospheric muon neutrions flux in [m^2 s Sr GeV]^{-1}
# Format: Energy  1<cs<0.9 .... 0.1<cs<0  Norm     
#neutrino flux
1.000E1 2.557 2.625 2.703 2.799 2.911 3.052 3.232 3.482 3.824 4.172 1E-1 
1.259E1 1.295 1.331 1.370 1.419 1.479 1.554 1.646 1.778 1.964 2.166 1E-1 
1.585E1 0.654 0.673 0.694 0.720 0.751 0.789 0.840 0.906 1.009 1.121 1E-1 
1.995E1 3.297 3.397 3.505 3.653 3.811 4.001 4.269 4.612 5.154 5.807 1E-2 
2.512E1 1.659 1.710 1.770 1.848 1.930 2.033 2.167 2.349 2.627 2.997 1E-2 
3.162E1 0.831 0.858 0.891 0.931 0.974 1.033 1.100 1.197 1.340 1.542 1E-2 
3.981E1 4.144 4.291 4.463 4.663 4.898 5.205 5.572 6.091 6.852 7.935 1E-3 
5.012E1 2.055 2.136 2.225 2.329 2.457 2.612 2.819 3.085 3.482 4.051 1E-3 
6.310E1 1.014 1.056 1.104 1.161 1.228 1.308 1.420 1.556 1.762 2.059 1E-3 
7.943E1 0.499 0.519 0.545 0.576 0.609 0.653 0.710 0.783 0.897 1.054 1E-3 
1.000E2 2.443 2.551 2.679 2.838 3.012 3.248 3.541 3.930 4.524 5.345 1E-4 
1.259E2 1.194 1.253 1.315 1.394 1.487 1.606 1.761 1.967 2.259 2.676 1E-4 
1.585E2 0.583 0.611 0.643 0.684 0.732 0.790 0.869 0.979 1.129 1.338 1E-4 
1.995E2 2.837 2.969 3.134 3.340 3.568 3.876 4.270 4.843 5.619 6.676 1E-5 
2.512E2 1.371 1.439 1.521 1.621 1.732 1.897 2.092 2.384 2.785 3.322 1E-5 
3.162E2 0.658 0.695 0.737 0.786 0.844 0.923 1.022 1.168 1.378 1.646 1E-5 
3.981E2 3.146 3.328 3.547 3.792 4.096 4.482 4.988 5.700 6.771 8.124 1E-6 
5.012E2 1.496 1.585 1.696 1.819 1.975 2.171 2.425 2.776 3.308 3.990 1E-6 
6.310E2 0.706 0.753 0.806 0.869 0.949 1.045 1.172 1.353 1.617 1.950 1E-6 
7.943E2 3.307 3.537 3.807 4.123 4.521 5.008 5.643 6.568 7.855 9.512 1E-7 
1.000E3 1.535 1.643 1.781 1.940 2.133 2.386 2.708 3.167 3.796 4.634 1E-7 
