  0.400000E+00  0.150000E+01  0.971215E+02  0.907560E-03  0.757301E+03  0.283248E-02  0.537375E+03  0.965635E+00  0.756849E+03  0.104136E+03  0.985655E+00  0.971932E-02  0.107207E-04  0.199452E+03  0.736530E-02  0.362308E-01  0.420270E-04  0.591616E+03  0.146396E-03  0.997031E+00  0.243670E-02  0.198778E+03  0.648428E+03  0.656408E+03  0.510634E+03  0.110448E+03  0.214016E+03  0.111511E+03
  0.422222E+00  0.150000E+01  0.988474E+02  0.102991E-02  0.757530E+03  0.319107E-02  0.534777E+03  0.963032E+00  0.757120E+03  0.104139E+03  0.985668E+00  0.970895E-02  0.119757E-04  0.199464E+03  0.735762E-02  0.361941E-01  0.469933E-04  0.592274E+03  0.145979E-03  0.996749E+00  0.271945E-02  0.198793E+03  0.648425E+03  0.656407E+03  0.510552E+03  0.110446E+03  0.214012E+03  0.106757E+03
  0.444444E+00  0.150000E+01  0.100621E+03  0.116107E-02  0.757776E+03  0.357121E-02  0.532311E+03  0.960403E+00  0.757410E+03  0.104142E+03  0.985682E+00  0.969793E-02  0.132964E-04  0.199476E+03  0.734946E-02  0.361550E-01  0.522247E-04  0.592971E+03  0.145540E-03  0.996453E+00  0.301745E-02  0.198809E+03  0.648423E+03  0.656406E+03  0.510464E+03  0.110445E+03  0.214007E+03  0.102191E+03
  0.466667E+00  0.150000E+01  0.102439E+03  0.130100E-02  0.758040E+03  0.397204E-02  0.529982E+03  0.957746E+00  0.757720E+03  0.104145E+03  0.985697E+00  0.968626E-02  0.146808E-04  0.199489E+03  0.734080E-02  0.361135E-01  0.577133E-04  0.593705E+03  0.145080E-03  0.996141E+00  0.333053E-02  0.198826E+03  0.648421E+03  0.656405E+03  0.510371E+03  0.110443E+03  0.214002E+03  0.978161E+02
  0.488889E+00  0.150000E+01  0.104300E+03  0.144956E-02  0.758323E+03  0.439248E-02  0.527794E+03  0.955059E+00  0.758050E+03  0.104149E+03  0.985713E+00  0.967391E-02  0.161268E-04  0.199502E+03  0.733164E-02  0.360695E-01  0.634496E-04  0.594478E+03  0.144598E-03  0.995815E+00  0.365845E-02  0.198844E+03  0.648418E+03  0.656404E+03  0.510272E+03  0.110441E+03  0.213997E+03  0.936319E+02
  0.511111E+00  0.150000E+01  0.106199E+03  0.160657E-02  0.758624E+03  0.483120E-02  0.525754E+03  0.952339E+00  0.758401E+03  0.104153E+03  0.985729E+00  0.966086E-02  0.176315E-04  0.199515E+03  0.732194E-02  0.360230E-01  0.694226E-04  0.595291E+03  0.144094E-03  0.995474E+00  0.400098E-02  0.198862E+03  0.648415E+03  0.656403E+03  0.510167E+03  0.110440E+03  0.213991E+03  0.896363E+02
  0.533333E+00  0.150000E+01  0.108136E+03  0.177175E-02  0.758946E+03  0.528662E-02  0.523868E+03  0.949582E+00  0.758774E+03  0.104156E+03  0.985746E+00  0.964710E-02  0.191922E-04  0.199530E+03  0.731169E-02  0.359738E-01  0.756199E-04  0.596143E+03  0.143570E-03  0.995119E+00  0.435781E-02  0.198882E+03  0.648412E+03  0.656402E+03  0.510056E+03  0.110438E+03  0.213985E+03  0.858251E+02
  0.400000E+00  0.155556E+01  0.957234E+02  0.135275E-02  0.721072E+03  0.456339E-02  0.494190E+03  0.968843E+00  0.720814E+03  0.103923E+03  0.984179E+00  0.107858E-01  0.164152E-04  0.198591E+03  0.822058E-02  0.402443E-01  0.658741E-04  0.568202E+03  0.183910E-03  0.996600E+00  0.273510E-02  0.197853E+03  0.648569E+03  0.656438E+03  0.516002E+03  0.110735E+03  0.213775E+03  0.112166E+03
  0.422222E+00  0.155556E+01  0.972427E+02  0.153773E-02  0.721301E+03  0.515739E-02  0.491498E+03  0.966495E+00  0.721104E+03  0.103926E+03  0.984193E+00  0.107743E-01  0.183522E-04  0.198602E+03  0.821265E-02  0.402039E-01  0.737396E-04  0.568881E+03  0.183343E-03  0.996284E+00  0.305351E-02  0.197870E+03  0.648567E+03  0.656437E+03  0.515922E+03  0.110733E+03  0.213770E+03  0.107928E+03
  0.444444E+00  0.155556E+01  0.988018E+02  0.173649E-02  0.721546E+03  0.578864E-02  0.488943E+03  0.964125E+00  0.721413E+03  0.103929E+03  0.984207E+00  0.107621E-01  0.203925E-04  0.198614E+03  0.820423E-02  0.401610E-01  0.820345E-04  0.569599E+03  0.182747E-03  0.995950E+00  0.338923E-02  0.197887E+03  0.648565E+03  0.656437E+03  0.515836E+03  0.110732E+03  0.213766E+03  0.103830E+03
