  20.0d0  0.96661d-4
  20.5d0  0.20558d-3
  21.0d0  0.15903d-3
  21.5d0  0.14368d-3
  22.0d0  0.37555d-3
  22.5d0  0.39857d-3
  23.0d0  0.16303d-3
  23.5d0  0.10947d-3
  24.0d0  0.13644d-3
  24.5d0  0.21726d-3
  25.0d0  0.23059d-3
  25.5d0  0.10157d-3
  26.0d0  0.10401d-3
  26.5d0  0.13487d-3
  27.0d0  0.15519d-3
  27.5d0  0.97351d-4
  28.0d0  0.16044d-3
  28.5d0  0.24001d-3
  29.0d0  0.19915d-3
  29.5d0  0.21249d-3
  30.0d0  0.19224d-3
  30.5d0  0.13552d-3
  31.0d0  0.17192d-3
  31.5d0  0.12841d-3
  32.0d0  0.12292d-3
  32.5d0  0.24967d-3
  33.0d0  0.35486d-3
  33.5d0  0.27630d-3
  34.0d0  0.17045d-3
  34.5d0  0.14237d-3
  35.0d0  0.28447d-3
  35.5d0  0.39549d-3
  36.0d0  0.33713d-3
  36.5d0  0.28585d-3
  37.0d0  0.22882d-3
  37.5d0  0.31538d-3
  38.0d0  0.35598d-3
  38.5d0  0.33756d-3
  39.0d0  0.36482d-3
  39.5d0  0.41188d-3
  40.0d0  0.46616d-3
  40.5d0  0.46565d-3
  41.0d0  0.33808d-3
  41.5d0  0.26253d-3
  42.0d0  0.24658d-3
  42.5d0  0.21311d-3
  43.0d0  0.21424d-3
  43.5d0  0.24353d-3
  44.0d0  0.20445d-3
  44.5d0  0.16042d-3
  45.0d0  0.23377d-3
  45.5d0  0.33648d-3
  46.0d0  0.36188d-3
  46.5d0  0.24940d-3
  47.0d0  0.20458d-3
  47.5d0  0.26414d-3
  48.0d0  0.43250d-3
  48.5d0  0.62623d-3
  49.0d0  0.68500d-3
  49.5d0  0.63412d-3
  50.0d0  0.48704d-3
  50.5d0  0.30619d-3
  51.0d0  0.32150d-3
  51.5d0  0.38505d-3
  52.0d0  0.39069d-3
  52.5d0  0.32339d-3
  53.0d0  0.25806d-3
  53.5d0  0.23608d-3
  54.0d0  0.23554d-3
  54.5d0  0.22548d-3
  55.0d0  0.19520d-3
  55.5d0  0.19678d-3
  56.0d0  0.20272d-3
  56.5d0  0.26099d-3
  57.0d0  0.26776d-3
  57.5d0  0.24755d-3
  58.0d0  0.20256d-3
  58.5d0  0.16090d-3
  59.0d0  0.15124d-3
  59.5d0  0.15595d-3
  60.0d0  0.15900d-3
  60.5d0  0.23028d-3
  61.0d0  0.40441d-3
  61.5d0  0.28224d-3
  62.0d0  0.14683d-3
  62.5d0  0.10250d-3
