1.50d1	2.6564d-3
1.55d1	2.1117d-3
1.60d1	1.7614d-3
1.65d1	1.5534d-3
1.70d1	1.4173d-3
1.75d1	1.3576d-3
1.80d1	2.1296d-3
1.85d1	2.0938d-3
1.90d1	1.5707d-3
1.95d1	1.3381d-3
2.00d1	1.2913d-3
2.05d1	1.2794d-3
2.10d1	1.1756d-3
2.15d1	9.6179d-4
2.20d1	1.0991d-3
2.25d1	1.0687d-3
2.30d1	6.9870d-4
2.35d1	6.7140d-4
2.40d1	6.9953d-4
2.45d1	8.8552d-4
2.50d1	8.1730d-4
2.55d1	6.1817d-4
2.60d1	5.8079d-4
2.65d1	5.5068d-4
2.70d1	5.4091d-4
2.75d1	5.1878d-4
2.80d1	5.1426d-4
2.85d1	5.0208d-4
2.90d1	5.0835d-4
2.95d1	4.9085d-4
3.00d1	4.8801d-4
3.05d1	4.8917d-4
3.10d1	4.8029d-4
3.15d1	4.8219d-4
3.20d1	4.6896d-4
3.25d1	4.8335d-4
3.30d1	4.9645d-4
3.35d1	4.5966d-4
3.40d1	4.8479d-4
3.45d1	5.0597d-4
3.50d1	5.9129d-4
3.55d1	7.2108d-4
3.60d1	7.1365d-4
3.65d1	6.0797d-4
3.70d1	5.0735d-4
3.75d1	4.8782d-4
3.80d1	4.7473d-4
3.85d1	4.6525d-4
3.90d1	4.6057d-4
3.95d1	4.6863d-4
4.00d1	4.7010d-4
4.05d1	4.5186d-4
4.10d1	4.8552d-4
4.15d1	5.3960d-4
4.20d1	5.3175d-4
4.25d1	4.6500d-4
4.30d1	4.4708d-4
4.35d1	4.4415d-4
4.40d1	4.2060d-4
4.45d1	4.3636d-4
4.50d1	4.6339d-4
4.55d1	5.2108d-4
4.60d1	5.0855d-4
4.65d1	4.4456d-4
4.70d1	4.3139d-4
4.75d1	4.6624d-4
4.80d1	5.1625d-4
4.85d1	6.5282d-4
4.90d1	7.3915d-4
4.95d1	7.2142d-4
5.00d1	6.1349d-4
5.05d1	5.1076d-4
5.10d1	4.5603d-4
5.15d1	4.2970d-4
5.20d1	4.3736d-4
5.25d1	4.7764d-4
5.30d1	5.0304d-4
5.35d1	4.5992d-4
5.40d1	4.1970d-4
5.45d1	4.1291d-4
5.50d1	3.8256d-4
5.55d1	3.6392d-4
5.60d1	4.0304d-4
5.65d1	4.2464d-4
5.70d1	4.0616d-4
5.75d1	3.6982d-4
5.80d1	3.4160d-4
5.85d1	3.1742d-4
5.90d1	3.0672d-4
5.95d1	2.7982d-4
6.00d1	2.8555d-4
6.05d1	2.7566d-4
6.10d1	2.7963d-4
6.15d1	3.0879d-4
6.20d1	3.6124d-4
6.25d1	3.8989d-4
