7.0000d1	8.6133d-2
7.0252d1	8.1498d-2
7.0616d1	7.6382d-2
7.1527d1	7.7460d-2
7.2124d1	7.2915d-2
7.2341d1	6.7497d-2
7.2533d1	6.1979d-2
7.2749d1	5.6580d-2
7.3308d1	5.0489d-2
7.3760d1	5.5473d-2
7.3970d1	6.1287d-2
7.4131d1	6.6824d-2
7.4264d1	7.2500d-2
7.4369d1	7.8037d-2
7.4516d1	8.3583d-2
7.4562d1	8.8682d-2
7.4664d1	9.4234d-2
7.4766d1	9.9881d-2
7.4866d1	1.0559d-1
7.4976d1	1.1136d-1
7.5089d1	1.1708d-1
7.5225d1	1.2261d-1
7.5384d1	1.2820d-1
7.5785d1	1.3498d-1
7.6136d1	1.2926d-1
7.6270d1	1.2372d-1
7.6374d1	1.1818d-1
7.6469d1	1.1265d-1
7.6568d1	1.0711d-1
7.6661d1	1.0157d-1
7.6758d1	9.5895d-2
7.6846d1	9.0303d-2
7.6968d1	8.4267d-2
7.7074d1	7.8729d-2
7.7259d1	7.3192d-2
7.7565d1	6.8853d-2
7.8018d1	7.6514d-2
7.8175d1	8.2262d-2
7.8313d1	8.8018d-2
7.8445d1	9.3542d-2
7.8557d1	9.9068d-2
7.8680d1	1.0462d-1
7.9098d1	1.1181d-1
7.9483d1	1.0572d-1
7.9653d1	1.0019d-1
7.9817d1	9.4511d-2
8.0003d1	8.9036d-2
8.0252d1	8.3586d-2
8.0660d1	7.8578d-2
8.1486d1	7.5852d-2
8.2144d1	7.1939d-2
8.2564d1	6.6547d-2
8.2928d1	6.1287d-2
8.3295d1	5.5749d-2
8.3861d1	4.8155d-2
8.4572d1	4.4615d-2
8.5241d1	4.8251d-2
8.5534d1	5.2427d-2
8.5850d1	5.7886d-2
8.6124d1	6.3225d-2
8.6435d1	6.8528d-2
8.6994d1	7.3186d-2
8.7766d1	7.6514d-2
8.8084d1	8.1711d-2
8.8277d1	8.7312d-2
8.8437d1	9.3127d-2
8.8543d1	9.8802d-2
8.8638d1	1.0448d-1
8.8730d1	1.1029d-1
8.8810d1	1.1597d-1
8.8889d1	1.2151d-1
8.8967d1	1.2732d-1
8.9050d1	1.3299d-1
8.9128d1	1.3867d-1
8.9211d1	1.4421d-1
8.9300d1	1.4975d-1
8.9390d1	1.5528d-1
8.9484d1	1.6082d-1
8.9614d1	1.6636d-1
8.9902d1	1.7040d-1
9.0224d1	1.6193d-1
9.0325d1	1.5639d-1
9.0391d1	1.5077d-1
9.0456d1	1.4504d-1
9.0514d1	1.3936d-1
9.0558d1	1.3383d-1
9.0599d1	1.2825d-1
9.0671d1	1.2240d-1
9.0722d1	1.1666d-1
9.0779d1	1.1098d-1
9.0832d1	1.0503d-1
9.0922d1	9.9494d-2
9.0970d1	9.3957d-2
9.1042d1	8.8420d-2
9.1118d1	8.2606d-2
9.1210d1	7.6791d-2
9.1324d1	7.1116d-2
9.1447d1	6.5311d-2
9.1589d1	5.9626d-2
9.1746d1	5.4090d-2
9.1950d1	4.8551d-2
9.2229d1	4.3013d-2
9.2698d1	3.9086d-2
9.3146d1	4.3092d-2
9.3375d1	4.8551d-2
9.3534d1	5.4088d-2
9.3662d1	5.9764d-2
9.3749d1	6.5301d-2
9.3830d1	7.1254d-2
9.3919d1	7.7068d-2
9.4006d1	8.2744d-2
9.4076d1	8.8420d-2
9.4167d1	9.4234d-2
9.4250d1	9.9910d-2
9.4333d1	1.0545d-1
9.4427d1	1.1098d-1
9.4545d1	1.1680d-1
9.4691d1	1.2234d-1
9.4833d1	1.2787d-1
9.5037d1	1.3352d-1
9.5492d1	1.3844d-1
9.5998d1	1.3335d-1
9.6225d1	1.2776d-1
9.6421d1	1.2220d-1
9.6590d1	1.1668d-1
9.6761d1	1.1098d-1
9.6943d1	1.0545d-1
9.7125d1	9.9910d-2
9.7299d1	9.4372d-2
9.7481d1	8.8835d-2
9.7649d1	8.3159d-2
9.7824d1	7.7624d-2
9.7995d1	7.1946d-2
9.8191d1	6.6464d-2
9.8330d1	6.0812d-2
9.8471d1	5.5321d-2
9.8670d1	4.9381d-2
9.8950d1	4.3794d-2
9.9284d1	3.8307d-2
9.9948d1	3.4049d-2
1.0086d2	3.4309d-2
1.0171d2	3.2224d-2
1.0240d2	2.8348d-2
1.0331d2	2.6767d-2
1.0396d2	3.0820d-2
1.0441d2	3.6092d-2
1.0477d2	4.1352d-2
1.0520d2	4.6751d-2
1.0593d2	5.0075d-2
1.0670d2	4.6698d-2
1.0731d2	4.2345d-2
1.0788d2	3.7753d-2
1.0844d2	3.3175d-2
1.0913d2	2.8937d-2
1.1000d2	2.9102d-2
