900d0	60d0	18.175d-3
900d0	70d0	5.378d-3
900d0	80d0	6.175d-3
900d0	90d0	9.820d-3
900d0	100d0	11.886d-3
900d0	125d0	9.531d-3
1000d0	60d0	9.557d-3
1000d0	70d0	4.102d-3
1000d0	80d0	3.585d-3
1000d0	90d0	2.287d-3
1000d0	100d0	2.357d-3
1000d0	125d0	1.854d-3
1000d0	150d0	2.895d-3
1000d0	200d0	12.701d-3
1100d0	60d0	3.536d-3
1100d0	70d0	1.651d-3
1100d0	80d0	1.797d-3
1100d0	90d0	1.294d-3
1100d0	100d0	0.985d-3
1100d0	125d0	0.740d-3
1100d0	150d0	1.075d-3
1100d0	200d0	3.537d-3
1100d0	250d0	23.236d-3
1100d0	300d0	119.603d-3
1200d0	60d0	1.863d-3
1200d0	70d0	0.538d-3
1200d0	80d0	0.689d-3
1200d0	90d0	0.786d-3
1200d0	100d0	0.775d-3
1200d0	125d0	0.615d-3
1200d0	150d0	0.897d-3
1200d0	200d0	1.967d-3
1200d0	250d0	7.696d-3
1200d0	300d0	45.840d-3
1200d0	350d0	122.744d-3
1200d0	400d0	116.737d-3
1300d0	60d0	3.122d-3
1300d0	70d0	0.521d-3
1300d0	80d0	0.426d-3
1300d0	90d0	0.464d-3
1300d0	100d0	0.533d-3
1300d0	125d0	0.528d-3
1300d0	150d0	0.709d-3
1300d0	200d0	1.340d-3
1300d0	250d0	2.960d-3
1300d0	300d0	15.487d-3
1300d0	350d0	52.732d-3
1300d0	400d0	45.733d-3
1300d0	450d0	67.874d-3
1300d0	500d0	98.288d-3
1400d0	60d0	5.512d-3
1400d0	70d0	1.055d-3
1400d0	80d0	0.954d-3
1400d0	90d0	0.732d-3
1400d0	100d0	0.490d-3
1400d0	125d0	0.399d-3
1400d0	150d0	0.515d-3
1400d0	200d0	0.502d-3
1400d0	250d0	1.590d-3
1400d0	300d0	5.476d-3
1400d0	350d0	23.177d-3
1400d0	400d0	37.461d-3
1400d0	450d0	40.028d-3
1400d0	500d0	57.127d-3
1400d0	600d0	74.215d-3
1500d0	60d0	4.911d-3
1500d0	70d0	0.998d-3
1500d0	80d0	1.013d-3
