  16d0  0.40193800d-3
  17d0  0.31459700d-3
  18d0  0.18675200d-3
  19d0  0.12221800d-3
  20d0  0.10502400d-3
  21d0  0.77344600d-4
  22d0  0.84498400d-4
  23d0  0.80631500d-4
  24d0  0.41782600d-4
  25d0  0.70328300d-4
  26d0  0.61589400d-4
  27d0  0.60800000d-4
  28d0  0.50170400d-4
  29d0  0.90623700d-4
  30d0  0.11727200d-3
  31d0  0.12041300d-3
  32d0  0.81478600d-4
  33d0  0.10837600d-3
  34d0  0.16533100d-3
  35d0  0.15532900d-3
  36d0  0.16925100d-3
  37d0  0.15391300d-3
  38d0  0.11045900d-3
  39d0  0.12248600d-3
  40d0  0.17742600d-3
  41d0  0.12373400d-3
  42d0  0.10541900d-3
  43d0  0.19909800d-3
  44d0  0.83005900d-4
  45d0  0.12450100d-3
  46d0  0.14768300d-3
  47d0  0.11047200d-3
  48d0  0.11623900d-3
  49d0  0.12991500d-3
  50d0  0.15891300d-3
  51d0  0.32310200d-3
  52d0  0.33854700d-3
  53d0  0.18985600d-3
  54d0  0.12823300d-3
  55d0  0.91432000d-4
  56d0  0.78579800d-4
  57d0  0.59198700d-4
  58d0  0.12911000d-3
  59d0  0.13428700d-3
  60d0  0.13130000d-3
  61d0  0.10558528d-3
  62d0  0.40959400d-4
